seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha
47537,50,1,25,18,62500,62500,0.95642,30,28,Mu1-const,1RAI,0.1
10109,100,3,10,0,100000,100000,0.993977,46,41,Mu1-const,1RAI,0.1
125255,50,1,50,2,125000,125000,0.942869,27,25,Mu1-const,1RAI,0.1
10213,100,3,10,1,100000,100000,0.967425,39,33,Mu1-const,1RAI,0.1
49389,50,1,25,19,62500,62500,0.929787,27,25,Mu1-const,1RAI,0.1
10517,100,3,10,2,100000,100000,0.974269,42,36,Mu1-const,1RAI,0.1
51341,50,1,25,20,62500,62500,0.926635,28,26,Mu1-const,1RAI,0.1
11021,100,3,10,3,100000,100000,0.987583,38,32,Mu1-const,1RAI,0.1
53393,50,1,25,21,62500,62500,0.947162,28,26,Mu1-const,1RAI,0.1
11725,100,3,10,4,100000,100000,0.993266,41,35,Mu1-const,1RAI,0.1
55545,50,1,25,22,62500,62500,0.936757,31,29,Mu1-const,1RAI,0.1
12629,100,3,10,5,100000,100000,0.984644,44,38,Mu1-const,1RAI,0.1
57797,50,1,25,23,62500,62500,0.933954,26,24,Mu1-const,1RAI,0.1
13733,100,3,10,6,100000,100000,0.981558,40,34,Mu1-const,1RAI,0.1
74753,100,3,25,11,250000,250000,0.966815,39,33,Mu1-const,1RAI,0.1
15037,100,3,10,7,100000,100000,0.992471,43,37,Mu1-const,1RAI,0.1
60149,50,1,25,24,62500,62500,0.96224,30,28,Mu1-const,1RAI,0.1
16541,100,3,10,8,100000,100000,0.991891,46,41,Mu1-const,1RAI,0.1
62601,50,1,25,25,62500,62500,0.942458,29,27,Mu1-const,1RAI,0.1
18245,100,3,10,9,100000,100000,0.989677,46,40,Mu1-const,1RAI,0.1
65153,50,1,25,26,62500,62500,0.947769,28,26,Mu1-const,1RAI,0.1
20149,100,3,10,10,100000,100000,0.977514,37,31,Mu1-const,1RAI,0.1
125507,50,1,50,3,125000,125000,0.939857,26,24,Mu1-const,1RAI,0.1
67805,50,1,25,27,62500,62500,0.949775,24,22,Mu1-const,1RAI,0.1
22253,100,3,10,11,100000,100000,0.985955,44,38,Mu1-const,1RAI,0.1
70557,50,1,25,28,62500,62500,0.955819,30,28,Mu1-const,1RAI,0.1
24557,100,3,10,12,100000,100000,0.992471,46,40,Mu1-const,1RAI,0.1
73409,50,1,25,29,62500,62500,0.961494,29,27,Mu1-const,1RAI,0.1
27061,100,3,10,13,100000,100000,0.984352,46,40,Mu1-const,1RAI,0.1
29765,100,3,10,14,100000,100000,0.986701,41,35,Mu1-const,1RAI,0.1
31309,50,3,25,0,62500,62500,0.976791,10,6,Mu1-const,1RAI,0.1
32669,100,3,10,15,100000,100000,0.989038,42,36,Mu1-const,1RAI,0.1
35773,100,3,10,16,100000,100000,0.98031,43,37,Mu1-const,1RAI,0.1
31363,50,3,25,1,62500,62500,0.975652,8,4,Mu1-const,1RAI,0.1
39077,100,3,10,17,100000,100000,0.968667,47,42,Mu1-const,1RAI,0.1
31517,50,3,25,2,62500,62500,0.970309,11,7,Mu1-const,1RAI,0.1
42581,100,3,10,18,100000,100000,0.972564,46,41,Mu1-const,1RAI,0.1
46285,100,3,10,19,100000,100000,0.997871,46,40,Mu1-const,1RAI,0.1
31771,50,3,25,3,62500,62500,0.987984,7,3,Mu1-const,1RAI,0.1
125859,50,1,50,4,125000,125000,0.930255,28,26,Mu1-const,1RAI,0.1
50189,100,3,10,20,100000,100000,0.974094,44,38,Mu1-const,1RAI,0.1
32125,50,3,25,4,62500,62500,0.953298,8,4,Mu1-const,1RAI,0.1
54293,100,3,10,21,100000,100000,0.9931,43,37,Mu1-const,1RAI,0.1
58597,100,3,10,22,100000,100000,0.997392,42,36,Mu1-const,1RAI,0.1
32579,50,3,25,5,62500,62500,0.981595,12,8,Mu1-const,1RAI,0.1
77057,100,3,25,12,250000,250000,0.976856,43,37,Mu1-const,1RAI,0.1
63101,100,3,10,23,100000,100000,0.99122,45,39,Mu1-const,1RAI,0.1
67805,100,3,10,24,100000,100000,0.993792,43,37,Mu1-const,1RAI,0.1
33133,50,3,25,6,62500,62500,0.970029,10,6,Mu1-const,1RAI,0.1
72709,100,3,10,25,100000,100000,0.973488,40,34,Mu1-const,1RAI,0.1
33787,50,3,25,7,62500,62500,0.978274,10,6,Mu1-const,1RAI,0.1
77813,100,3,10,26,100000,100000,0.98517,41,35,Mu1-const,1RAI,0.1
83117,100,3,10,27,100000,100000,0.956411,38,32,Mu1-const,1RAI,0.1
34541,50,3,25,8,62500,62500,0.978434,10,6,Mu1-const,1RAI,0.1
88621,100,3,10,28,100000,100000,0.991891,44,38,Mu1-const,1RAI,0.1
126311,50,1,50,5,125000,125000,0.949007,29,27,Mu1-const,1RAI,0.1
35395,50,3,25,9,62500,62500,0.970122,10,6,Mu1-const,1RAI,0.1
94325,100,3,10,29,100000,100000,0.966431,39,33,Mu1-const,1RAI,0.1
36349,50,3,25,10,62500,62500,0.981784,11,7,Mu1-const,1RAI,0.1
37403,50,3,25,11,62500,62500,0.977894,11,7,Mu1-const,1RAI,0.1
38557,50,3,25,12,62500,62500,0.9881,13,9,Mu1-const,1RAI,0.1
39811,50,3,25,13,62500,62500,0.981708,10,6,Mu1-const,1RAI,0.1
41165,50,3,25,14,62500,62500,0.972951,8,4,Mu1-const,1RAI,0.1
126863,50,1,50,6,125000,125000,0.949584,28,26,Mu1-const,1RAI,0.1
42619,50,3,25,15,62500,62500,0.986009,13,9,Mu1-const,1RAI,0.1
79561,100,3,25,13,250000,250000,0.952766,41,35,Mu1-const,1RAI,0.1
44173,50,3,25,16,62500,62500,0.979763,10,6,Mu1-const,1RAI,0.1
45827,50,3,25,17,62500,62500,0.970076,8,4,Mu1-const,1RAI,0.1
47581,50,3,25,18,62500,62500,0.965952,7,3,Mu1-const,1RAI,0.1
49435,50,3,25,19,62500,62500,0.984773,14,11,Mu1-const,1RAI,0.1
51389,50,3,25,20,62500,62500,0.982365,7,3,Mu1-const,1RAI,0.1
127515,50,1,50,7,125000,125000,0.937528,27,25,Mu1-const,1RAI,0.1
53443,50,3,25,21,62500,62500,0.977582,12,8,Mu1-const,1RAI,0.1
55597,50,3,25,22,62500,62500,0.989396,14,10,Mu1-const,1RAI,0.1
57851,50,3,25,23,62500,62500,0.978693,10,6,Mu1-const,1RAI,0.1
60205,50,3,25,24,62500,62500,0.969433,9,5,Mu1-const,1RAI,0.1
62659,50,3,25,25,62500,62500,0.983171,14,10,Mu1-const,1RAI,0.1
82265,100,3,25,14,250000,250000,0.971158,42,36,Mu1-const,1RAI,0.1
65213,50,3,25,26,62500,62500,0.968406,14,11,Mu1-const,1RAI,0.1
128267,50,1,50,8,125000,125000,0.935553,25,23,Mu1-const,1RAI,0.1
67867,50,3,25,27,62500,62500,0.965027,12,8,Mu1-const,1RAI,0.1
70621,50,3,25,28,62500,62500,0.980639,12,8,Mu1-const,1RAI,0.1
73475,50,3,25,29,62500,62500,0.98342,13,9,Mu1-const,1RAI,0.1
31325,50,5,25,0,62500,62500,0.995437,4,0,Mu1-const,1RAI,0.1
31381,50,5,25,1,62500,62500,0.997959,4,0,Mu1-const,1RAI,0.1
129119,50,1,50,9,125000,125000,0.964331,31,29,Mu1-const,1RAI,0.1
31537,50,5,25,2,62500,62500,0.997365,5,0,Mu1-const,1RAI,0.1
31793,50,5,25,3,62500,62500,0.996274,5,0,Mu1-const,1RAI,0.1
32149,50,5,25,4,62500,62500,0.996465,5,0,Mu1-const,1RAI,0.1
32605,50,5,25,5,62500,62500,0.995142,5,0,Mu1-const,1RAI,0.1
85169,100,3,25,15,250000,250000,0.957548,40,34,Mu1-const,1RAI,0.1
33161,50,5,25,6,62500,62500,0.995001,5,0,Mu1-const,1RAI,0.1
33817,50,5,25,7,62500,62500,0.997959,5,0,Mu1-const,1RAI,0.1
130071,50,1,50,10,125000,125000,0.938088,26,24,Mu1-const,1RAI,0.1
34573,50,5,25,8,62500,62500,0.997114,4,0,Mu1-const,1RAI,0.1
35429,50,5,25,9,62500,62500,0.996274,4,0,Mu1-const,1RAI,0.1
36385,50,5,25,10,62500,62500,0.995591,4,0,Mu1-const,1RAI,0.1
62601,100,1,25,0,250000,250000,0.953711,73,71,Mu1-const,1RAI,0.1
37441,50,5,25,11,62500,62500,0.996667,4,0,Mu1-const,1RAI,0.1
38597,50,5,25,12,62500,62500,0.994228,5,0,Mu1-const,1RAI,0.1
131123,50,1,50,11,125000,125000,0.913555,24,22,Mu1-const,1RAI,0.1
39853,50,5,25,13,62500,62500,0.997959,5,0,Mu1-const,1RAI,0.1
41209,50,5,25,14,62500,62500,0.995287,4,0,Mu1-const,1RAI,0.1
88273,100,3,25,16,250000,250000,0.983692,44,38,Mu1-const,1RAI,0.1
42665,50,5,25,15,62500,62500,0.995591,5,0,Mu1-const,1RAI,0.1
44221,50,5,25,16,62500,62500,0.995437,5,0,Mu1-const,1RAI,0.1
45877,50,5,25,17,47792,62500,1.0,4,0,Mu1-const,1RAI,0.1
132275,50,1,50,12,125000,125000,0.924403,26,24,Mu1-const,1RAI,0.1
47633,50,5,25,18,62500,62500,0.998822,5,0,Mu1-const,1RAI,0.1
62703,100,1,25,1,250000,250000,0.977211,72,69,Mu1-const,1RAI,0.1
49489,50,5,25,19,62500,62500,0.984911,6,2,Mu1-const,1RAI,0.1
51445,50,5,25,20,62500,62500,0.995142,5,0,Mu1-const,1RAI,0.1
53501,50,5,25,21,62500,62500,0.995591,4,0,Mu1-const,1RAI,0.1
55657,50,5,25,22,61081,62500,1.0,5,0,Mu1-const,1RAI,0.1
133527,50,1,50,13,125000,125000,0.950702,30,28,Mu1-const,1RAI,0.1
57913,50,5,25,23,62500,62500,0.996883,5,0,Mu1-const,1RAI,0.1
91577,100,3,25,17,250000,250000,0.975758,44,38,Mu1-const,1RAI,0.1
60269,50,5,25,24,62500,62500,0.997959,5,0,Mu1-const,1RAI,0.1
62725,50,5,25,25,62500,62500,0.996883,5,0,Mu1-const,1RAI,0.1
65281,50,5,25,26,62500,62500,0.997959,5,0,Mu1-const,1RAI,0.1
63005,100,1,25,2,250000,250000,0.980879,73,70,Mu1-const,1RAI,0.1
67937,50,5,25,27,62500,62500,0.993655,4,0,Mu1-const,1RAI,0.1
134879,50,1,50,14,125000,125000,0.929685,26,24,Mu1-const,1RAI,0.1
70693,50,5,25,28,62500,62500,0.995001,5,0,Mu1-const,1RAI,0.1
73549,50,5,25,29,62500,62500,0.997365,5,1,Mu1-const,1RAI,0.1
31400,50,10,25,0,19810,62500,1.0,4,0,Mu1-const,1RAI,0.1
31461,50,10,25,1,22185,62500,1.0,3,0,Mu1-const,1RAI,0.1
31622,50,10,25,2,32763,62500,1.0,4,0,Mu1-const,1RAI,0.1
31883,50,10,25,3,15455,62500,1.0,3,0,Mu1-const,1RAI,0.1
32244,50,10,25,4,33106,62500,1.0,4,0,Mu1-const,1RAI,0.1
95081,100,3,25,18,250000,250000,0.989374,46,40,Mu1-const,1RAI,0.1
136331,50,1,50,15,125000,125000,0.947347,26,24,Mu1-const,1RAI,0.1
32705,50,10,25,5,41504,62500,1.0,4,0,Mu1-const,1RAI,0.1
33266,50,10,25,6,22675,62500,1.0,4,0,Mu1-const,1RAI,0.1
33927,50,10,25,7,25053,62500,1.0,4,0,Mu1-const,1RAI,0.1
63507,100,1,25,3,250000,250000,0.968288,72,69,Mu1-const,1RAI,0.1
34688,50,10,25,8,22621,62500,1.0,4,0,Mu1-const,1RAI,0.1
35549,50,10,25,9,35278,62500,1.0,5,0,Mu1-const,1RAI,0.1
36510,50,10,25,10,21256,62500,1.0,4,0,Mu1-const,1RAI,0.1
37571,50,10,25,11,24167,62500,1.0,3,0,Mu1-const,1RAI,0.1
38732,50,10,25,12,35632,62500,1.0,4,0,Mu1-const,1RAI,0.1
39993,50,10,25,13,26816,62500,1.0,3,0,Mu1-const,1RAI,0.1
137883,50,1,50,16,125000,125000,0.948128,28,26,Mu1-const,1RAI,0.1
41354,50,10,25,14,18334,62500,1.0,3,0,Mu1-const,1RAI,0.1
42815,50,10,25,15,33206,62500,1.0,4,0,Mu1-const,1RAI,0.1
44376,50,10,25,16,23287,62500,1.0,5,0,Mu1-const,1RAI,0.1
46037,50,10,25,17,25190,62500,1.0,4,0,Mu1-const,1RAI,0.1
47798,50,10,25,18,27702,62500,1.0,3,0,Mu1-const,1RAI,0.1
49659,50,10,25,19,15366,62500,1.0,4,0,Mu1-const,1RAI,0.1
51620,50,10,25,20,19920,62500,1.0,4,0,Mu1-const,1RAI,0.1
53681,50,10,25,21,18120,62500,1.0,4,0,Mu1-const,1RAI,0.1
98785,100,3,25,19,250000,250000,0.979348,41,35,Mu1-const,1RAI,0.1
64209,100,1,25,4,250000,250000,0.975997,71,68,Mu1-const,1RAI,0.1
55842,50,10,25,22,30986,62500,1.0,4,0,Mu1-const,1RAI,0.1
58103,50,10,25,23,20489,62500,1.0,4,0,Mu1-const,1RAI,0.1
139535,50,1,50,17,125000,125000,0.937721,28,26,Mu1-const,1RAI,0.1
60464,50,10,25,24,25124,62500,1.0,5,0,Mu1-const,1RAI,0.1
62925,50,10,25,25,26143,62500,1.0,4,0,Mu1-const,1RAI,0.1
65486,50,10,25,26,35361,62500,1.0,4,0,Mu1-const,1RAI,0.1
68147,50,10,25,27,23985,62500,1.0,4,0,Mu1-const,1RAI,0.1
70908,50,10,25,28,23873,62500,1.0,4,0,Mu1-const,1RAI,0.1
73769,50,10,25,29,25519,62500,1.0,5,0,Mu1-const,1RAI,0.1
141287,50,1,50,18,125000,125000,0.940188,29,27,Mu1-const,1RAI,0.1
65111,100,1,25,5,250000,250000,0.968878,71,68,Mu1-const,1RAI,0.1
102689,100,3,25,20,250000,250000,0.967057,37,30,Mu1-const,1RAI,0.1
143139,50,1,50,19,125000,125000,0.914663,28,26,Mu1-const,1RAI,0.1
66213,100,1,25,6,250000,250000,0.969591,73,71,Mu1-const,1RAI,0.1
145091,50,1,50,20,125000,125000,0.9613,29,27,Mu1-const,1RAI,0.1
106793,100,3,25,21,250000,250000,0.97704,43,37,Mu1-const,1RAI,0.1
147143,50,1,50,21,125000,125000,0.946616,27,25,Mu1-const,1RAI,0.1
67515,100,1,25,7,250000,250000,0.976397,70,67,Mu1-const,1RAI,0.1
149295,50,1,50,22,125000,125000,0.962081,30,28,Mu1-const,1RAI,0.1
111097,100,3,25,22,250000,250000,0.968573,48,43,Mu1-const,1RAI,0.1
69017,100,1,25,8,250000,250000,0.967113,70,67,Mu1-const,1RAI,0.1
151547,50,1,50,23,125000,125000,0.940462,25,23,Mu1-const,1RAI,0.1
115601,100,3,25,23,250000,250000,0.965761,46,40,Mu1-const,1RAI,0.1
153899,50,1,50,24,125000,125000,0.955812,28,26,Mu1-const,1RAI,0.1
70719,100,1,25,9,250000,250000,0.969135,69,66,Mu1-const,1RAI,0.1
156351,50,1,50,25,125000,125000,0.945591,30,28,Mu1-const,1RAI,0.1
120305,100,3,25,24,250000,250000,0.963641,40,34,Mu1-const,1RAI,0.1
72621,100,1,25,10,250000,250000,0.979849,72,69,Mu1-const,1RAI,0.1
158903,50,1,50,26,125000,125000,0.945171,27,25,Mu1-const,1RAI,0.1
161555,50,1,50,27,125000,125000,0.925689,25,23,Mu1-const,1RAI,0.1
74723,100,1,25,11,250000,250000,0.972062,72,69,Mu1-const,1RAI,0.1
125209,100,3,25,25,250000,250000,0.979748,41,35,Mu1-const,1RAI,0.1
164307,50,1,50,28,125000,125000,0.940265,29,27,Mu1-const,1RAI,0.1
77025,100,1,25,12,250000,250000,0.965791,70,67,Mu1-const,1RAI,0.1
167159,50,1,50,29,125000,125000,0.952529,29,27,Mu1-const,1RAI,0.1
130313,100,3,25,26,250000,250000,0.971158,45,39,Mu1-const,1RAI,0.1
79527,100,1,25,13,250000,250000,0.974327,69,66,Mu1-const,1RAI,0.1
125059,50,3,50,0,125000,125000,0.971405,10,6,Mu1-const,1RAI,0.1
135617,100,3,25,27,250000,250000,0.977137,41,35,Mu1-const,1RAI,0.1
82229,100,1,25,14,250000,250000,0.976498,70,67,Mu1-const,1RAI,0.1
125113,50,3,50,1,125000,125000,0.974357,9,5,Mu1-const,1RAI,0.1
141121,100,3,25,28,250000,250000,0.985751,46,41,Mu1-const,1RAI,0.1
125267,50,3,50,2,125000,125000,0.978679,9,5,Mu1-const,1RAI,0.1
85131,100,1,25,15,250000,250000,0.968005,73,70,Mu1-const,1RAI,0.1
146825,100,3,25,29,250000,250000,0.959478,37,31,Mu1-const,1RAI,0.1
125521,50,3,50,3,125000,125000,0.966075,13,9,Mu1-const,1RAI,0.1
88233,100,1,25,16,250000,250000,0.968589,71,68,Mu1-const,1RAI,0.1
125875,50,3,50,4,125000,125000,0.969422,12,8,Mu1-const,1RAI,0.1
91535,100,1,25,17,250000,250000,0.960318,69,66,Mu1-const,1RAI,0.1
126329,50,3,50,5,125000,125000,0.959991,10,6,Mu1-const,1RAI,0.1
95037,100,1,25,18,250000,250000,0.964728,68,65,Mu1-const,1RAI,0.1
126883,50,3,50,6,125000,125000,0.97165,12,8,Mu1-const,1RAI,0.1
98739,100,1,25,19,250000,250000,0.963833,73,71,Mu1-const,1RAI,0.1
127537,50,3,50,7,125000,125000,0.97888,12,8,Mu1-const,1RAI,0.1
102641,100,1,25,20,250000,250000,0.984759,73,70,Mu1-const,1RAI,0.1
128291,50,3,50,8,125000,125000,0.976985,12,8,Mu1-const,1RAI,0.1
106743,100,1,25,21,250000,250000,0.966851,74,72,Mu1-const,1RAI,0.1
129145,50,3,50,9,125000,125000,0.968589,10,6,Mu1-const,1RAI,0.1
111045,100,1,25,22,250000,250000,0.967108,72,69,Mu1-const,1RAI,0.1
130099,50,3,50,10,125000,125000,0.969831,14,11,Mu1-const,1RAI,0.1
115547,100,1,25,23,250000,250000,0.962585,69,66,Mu1-const,1RAI,0.1
131153,50,3,50,11,125000,125000,0.966713,9,5,Mu1-const,1RAI,0.1
120249,100,1,25,24,250000,250000,0.977271,69,66,Mu1-const,1RAI,0.1
132307,50,3,50,12,125000,125000,0.97449,12,8,Mu1-const,1RAI,0.1
125151,100,1,25,25,250000,250000,0.972815,70,67,Mu1-const,1RAI,0.1
133561,50,3,50,13,125000,125000,0.972638,10,6,Mu1-const,1RAI,0.1
134915,50,3,50,14,125000,125000,0.970302,11,7,Mu1-const,1RAI,0.1
130253,100,1,25,26,250000,250000,0.976239,69,66,Mu1-const,1RAI,0.1
136369,50,3,50,15,125000,125000,0.975867,13,9,Mu1-const,1RAI,0.1
135555,100,1,25,27,250000,250000,0.970545,75,73,Mu1-const,1RAI,0.1
137923,50,3,50,16,125000,125000,0.980141,11,7,Mu1-const,1RAI,0.1
141057,100,1,25,28,250000,250000,0.960382,68,65,Mu1-const,1RAI,0.1
139577,50,3,50,17,125000,125000,0.969662,11,7,Mu1-const,1RAI,0.1
146759,100,1,25,29,250000,250000,0.972978,70,67,Mu1-const,1RAI,0.1
141331,50,3,50,18,125000,125000,0.972632,13,9,Mu1-const,1RAI,0.1
62609,100,3,25,0,250000,250000,0.979005,44,38,Mu1-const,1RAI,0.1
143185,50,3,50,19,125000,125000,0.976165,14,11,Mu1-const,1RAI,0.1
62713,100,3,25,1,250000,250000,0.974367,44,38,Mu1-const,1RAI,0.1
145139,50,3,50,20,125000,125000,0.966494,7,3,Mu1-const,1RAI,0.1
147193,50,3,50,21,125000,125000,0.956721,10,6,Mu1-const,1RAI,0.1
63017,100,3,25,2,250000,250000,0.981987,42,36,Mu1-const,1RAI,0.1
149347,50,3,50,22,125000,125000,0.970561,13,9,Mu1-const,1RAI,0.1
63521,100,3,25,3,250000,250000,0.95355,37,31,Mu1-const,1RAI,0.1
151601,50,3,50,23,125000,125000,0.949372,13,9,Mu1-const,1RAI,0.1
64225,100,3,25,4,250000,250000,0.977286,38,32,Mu1-const,1RAI,0.1
153955,50,3,50,24,125000,125000,0.982018,15,12,Mu1-const,1RAI,0.1
156409,50,3,50,25,125000,125000,0.960811,8,4,Mu1-const,1RAI,0.1
65129,100,3,25,5,250000,250000,0.973673,41,35,Mu1-const,1RAI,0.1
158963,50,3,50,26,125000,125000,0.951048,8,4,Mu1-const,1RAI,0.1
66233,100,3,25,6,250000,250000,0.967751,41,35,Mu1-const,1RAI,0.1
161617,50,3,50,27,125000,125000,0.960256,12,8,Mu1-const,1RAI,0.1
67537,100,3,25,7,250000,250000,0.977316,42,36,Mu1-const,1RAI,0.1
164371,50,3,50,28,125000,125000,0.975207,11,7,Mu1-const,1RAI,0.1
69041,100,3,25,8,250000,250000,0.967809,41,35,Mu1-const,1RAI,0.1
167225,50,3,50,29,125000,125000,0.98199,12,8,Mu1-const,1RAI,0.1
125075,50,5,50,0,125000,125000,0.990689,5,0,Mu1-const,1RAI,0.1
70745,100,3,25,9,250000,250000,0.969113,42,36,Mu1-const,1RAI,0.1
125131,50,5,50,1,125000,125000,0.987319,5,0,Mu1-const,1RAI,0.1
125287,50,5,50,2,125000,125000,0.98526,5,0,Mu1-const,1RAI,0.1
125543,50,5,50,3,125000,125000,0.990634,5,0,Mu1-const,1RAI,0.1
125899,50,5,50,4,125000,125000,0.989248,5,0,Mu1-const,1RAI,0.1
126355,50,5,50,5,125000,125000,0.987265,5,0,Mu1-const,1RAI,0.1
126911,50,5,50,6,125000,125000,0.988983,5,0,Mu1-const,1RAI,0.1
127567,50,5,50,7,125000,125000,0.987014,5,0,Mu1-const,1RAI,0.1
128323,50,5,50,8,125000,125000,0.979885,5,1,Mu1-const,1RAI,0.1
129179,50,5,50,9,125000,125000,0.987769,5,0,Mu1-const,1RAI,0.1
130135,50,5,50,10,125000,125000,0.986768,5,0,Mu1-const,1RAI,0.1
131191,50,5,50,11,125000,125000,0.987345,5,1,Mu1-const,1RAI,0.1
132347,50,5,50,12,125000,125000,0.984267,5,0,Mu1-const,1RAI,0.1
133603,50,5,50,13,125000,125000,0.986652,4,0,Mu1-const,1RAI,0.1
134959,50,5,50,14,125000,125000,0.988222,5,0,Mu1-const,1RAI,0.1
136415,50,5,50,15,125000,125000,0.988693,4,0,Mu1-const,1RAI,0.1
137971,50,5,50,16,125000,125000,0.990002,4,0,Mu1-const,1RAI,0.1
139627,50,5,50,17,125000,125000,0.988222,5,0,Mu1-const,1RAI,0.1
141383,50,5,50,18,125000,125000,0.986678,5,0,Mu1-const,1RAI,0.1
143239,50,5,50,19,125000,125000,0.990892,4,0,Mu1-const,1RAI,0.1
145195,50,5,50,20,125000,125000,0.988983,5,0,Mu1-const,1RAI,0.1
147251,50,5,50,21,125000,125000,0.987372,5,0,Mu1-const,1RAI,0.1
149407,50,5,50,22,125000,125000,0.990105,5,0,Mu1-const,1RAI,0.1
151663,50,5,50,23,125000,125000,0.989014,5,0,Mu1-const,1RAI,0.1
154019,50,5,50,24,125000,125000,0.985458,5,0,Mu1-const,1RAI,0.1
156475,50,5,50,25,125000,125000,0.989917,5,0,Mu1-const,1RAI,0.1
159031,50,5,50,26,125000,125000,0.987481,5,0,Mu1-const,1RAI,0.1
161687,50,5,50,27,125000,125000,0.988093,5,0,Mu1-const,1RAI,0.1
164443,50,5,50,28,125000,125000,0.989602,5,0,Mu1-const,1RAI,0.1
167299,50,5,50,29,125000,125000,0.985272,5,0,Mu1-const,1RAI,0.1
125150,50,10,50,0,125000,125000,0.99697,4,0,Mu1-const,1RAI,0.1
125211,50,10,50,1,125000,125000,0.997204,4,0,Mu1-const,1RAI,0.1
125372,50,10,50,2,125000,125000,0.996806,4,0,Mu1-const,1RAI,0.1
125633,50,10,50,3,125000,125000,0.998251,4,0,Mu1-const,1RAI,0.1
125994,50,10,50,4,125000,125000,0.997458,4,0,Mu1-const,1RAI,0.1
126455,50,10,50,5,125000,125000,0.997898,4,0,Mu1-const,1RAI,0.1
127016,50,10,50,6,125000,125000,0.998066,4,0,Mu1-const,1RAI,0.1
127677,50,10,50,7,125000,125000,0.998572,4,0,Mu1-const,1RAI,0.1
128438,50,10,50,8,125000,125000,0.997742,4,0,Mu1-const,1RAI,0.1
250101,100,1,50,0,500000,500000,0.96911,73,71,Mu1-const,1RAI,0.1
129299,50,10,50,9,125000,125000,0.997027,4,0,Mu1-const,1RAI,0.1
130260,50,10,50,10,125000,125000,0.997027,4,0,Mu1-const,1RAI,0.1
131321,50,10,50,11,125000,125000,0.99798,4,0,Mu1-const,1RAI,0.1
132482,50,10,50,12,125000,125000,0.997898,3,0,Mu1-const,1RAI,0.1
133743,50,10,50,13,125000,125000,0.998457,4,0,Mu1-const,1RAI,0.1
135104,50,10,50,14,125000,125000,0.997818,4,0,Mu1-const,1RAI,0.1
250203,100,1,50,1,500000,500000,0.970266,72,69,Mu1-const,1RAI,0.1
136565,50,10,50,15,125000,125000,0.998457,4,0,Mu1-const,1RAI,0.1
138126,50,10,50,16,125000,125000,0.998156,4,0,Mu1-const,1RAI,0.1
139787,50,10,50,17,125000,125000,0.998156,4,0,Mu1-const,1RAI,0.1
141548,50,10,50,18,125000,125000,0.997392,4,0,Mu1-const,1RAI,0.1
143409,50,10,50,19,125000,125000,0.997668,4,0,Mu1-const,1RAI,0.1
250505,100,1,50,2,500000,500000,0.95943,71,68,Mu1-const,1RAI,0.1
145370,50,10,50,20,125000,125000,0.997265,4,0,Mu1-const,1RAI,0.1
147431,50,10,50,21,125000,125000,0.997818,4,0,Mu1-const,1RAI,0.1
149592,50,10,50,22,125000,125000,0.997742,4,0,Mu1-const,1RAI,0.1
151853,50,10,50,23,125000,125000,0.998834,4,0,Mu1-const,1RAI,0.1
154214,50,10,50,24,125000,125000,0.996806,4,0,Mu1-const,1RAI,0.1
251007,100,1,50,3,500000,500000,0.961422,70,67,Mu1-const,1RAI,0.1
156675,50,10,50,25,125000,125000,0.997898,4,0,Mu1-const,1RAI,0.1
159236,50,10,50,26,125000,125000,0.997742,4,0,Mu1-const,1RAI,0.1
161897,50,10,50,27,125000,125000,0.997668,4,0,Mu1-const,1RAI,0.1
164658,50,10,50,28,125000,125000,0.997818,4,0,Mu1-const,1RAI,0.1
167519,50,10,50,29,125000,125000,0.997458,4,0,Mu1-const,1RAI,0.1
501,100,1,2,0,3212,20000,1.0,70,67,Mu1-const,1RAI,0.1
603,100,1,2,1,5895,20000,1.0,69,66,Mu1-const,1RAI,0.1
905,100,1,2,2,4814,20000,1.0,72,69,Mu1-const,1RAI,0.1
1407,100,1,2,3,4166,20000,1.0,73,70,Mu1-const,1RAI,0.1
2109,100,1,2,4,2927,20000,1.0,70,67,Mu1-const,1RAI,0.1
3011,100,1,2,5,7262,20000,1.0,69,66,Mu1-const,1RAI,0.1
4113,100,1,2,6,5124,20000,1.0,70,67,Mu1-const,1RAI,0.1
5415,100,1,2,7,13235,20000,1.0,72,69,Mu1-const,1RAI,0.1
6917,100,1,2,8,9116,20000,1.0,71,68,Mu1-const,1RAI,0.1
8619,100,1,2,9,11770,20000,1.0,67,64,Mu1-const,1RAI,0.1
10521,100,1,2,10,4212,20000,1.0,72,69,Mu1-const,1RAI,0.1
12623,100,1,2,11,1706,20000,1.0,71,68,Mu1-const,1RAI,0.1
14925,100,1,2,12,5304,20000,1.0,72,69,Mu1-const,1RAI,0.1
17427,100,1,2,13,4861,20000,1.0,73,70,Mu1-const,1RAI,0.1
20129,100,1,2,14,1945,20000,1.0,71,68,Mu1-const,1RAI,0.1
23031,100,1,2,15,2797,20000,1.0,71,68,Mu1-const,1RAI,0.1
26133,100,1,2,16,2315,20000,1.0,71,68,Mu1-const,1RAI,0.1
29435,100,1,2,17,11128,20000,1.0,73,70,Mu1-const,1RAI,0.1
32937,100,1,2,18,20000,20000,0.989899,67,64,Mu1-const,1RAI,0.1
36639,100,1,2,19,2558,20000,1.0,74,72,Mu1-const,1RAI,0.1
