seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation
16517,100,1,10,8,622,100000,1,-91,-69,Mu1-unconst,XRAI_0.000000
18219,100,1,10,9,1256,100000,1,-91,-68,Mu1-unconst,XRAI_0.000000
20121,100,1,10,10,1137,100000,1,-90,-67,Mu1-unconst,XRAI_0.000000
22223,100,1,10,11,892,100000,1,-93,-68,Mu1-unconst,XRAI_0.000000
24525,100,1,10,12,856,100000,1,-91,-68,Mu1-unconst,XRAI_0.000000
27027,100,1,10,13,1006,100000,1,-92,-66,Mu1-unconst,XRAI_0.000000
29729,100,1,10,14,1084,100000,1,-92,-70,Mu1-unconst,XRAI_0.000000
32631,100,1,10,15,1294,100000,1,-93,-69,Mu1-unconst,XRAI_0.000000
35733,100,1,10,16,554,100000,1,-92,-67,Mu1-unconst,XRAI_0.000000
39035,100,1,10,17,857,100000,1,-92,-67,Mu1-unconst,XRAI_0.000000
42537,100,1,10,18,774,100000,1,-92,-67,Mu1-unconst,XRAI_0.000000
46239,100,1,10,19,1095,100000,1,-93,-71,Mu1-unconst,XRAI_0.000000
50141,100,1,10,20,1055,100000,1,-92,-69,Mu1-unconst,XRAI_0.000000
54243,100,1,10,21,717,100000,1,-92,-68,Mu1-unconst,XRAI_0.000000
58545,100,1,10,22,1154,100000,1,-93,-70,Mu1-unconst,XRAI_0.000000
63047,100,1,10,23,1108,100000,1,-91,-67,Mu1-unconst,XRAI_0.000000
67749,100,1,10,24,1057,100000,1,-93,-68,Mu1-unconst,XRAI_0.000000
72651,100,1,10,25,1029,100000,1,-91,-67,Mu1-unconst,XRAI_0.000000
77753,100,1,10,26,896,100000,1,-92,-66,Mu1-unconst,XRAI_0.000000
83055,100,1,10,27,612,100000,1,-92,-69,Mu1-unconst,XRAI_0.000000
88557,100,1,10,28,792,100000,1,-92,-71,Mu1-unconst,XRAI_0.000000
94259,100,1,10,29,715,100000,1,-92,-70,Mu1-unconst,XRAI_0.000000
10109,100,3,10,0,904,100000,1,-74,-41,Mu1-unconst,XRAI_0.000000
10213,100,3,10,1,782,100000,1,-74,-33,Mu1-unconst,XRAI_0.000000
10517,100,3,10,2,954,100000,1,-80,-36,Mu1-unconst,XRAI_0.000000
11021,100,3,10,3,794,100000,1,-75,-32,Mu1-unconst,XRAI_0.000000
11725,100,3,10,4,1004,100000,1,-78,-35,Mu1-unconst,XRAI_0.000000
12629,100,3,10,5,1461,100000,1,-80,-38,Mu1-unconst,XRAI_0.000000
13733,100,3,10,6,961,100000,1,-77,-34,Mu1-unconst,XRAI_0.000000
15037,100,3,10,7,1258,100000,1,-78,-37,Mu1-unconst,XRAI_0.000000
16541,100,3,10,8,1109,100000,1,-80,-41,Mu1-unconst,XRAI_0.000000
18245,100,3,10,9,911,100000,1,-75,-40,Mu1-unconst,XRAI_0.000000
20149,100,3,10,10,995,100000,1,-78,-31,Mu1-unconst,XRAI_0.000000
22253,100,3,10,11,1048,100000,1,-78,-38,Mu1-unconst,XRAI_0.000000
24557,100,3,10,12,1472,100000,1,-77,-40,Mu1-unconst,XRAI_0.000000
