seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
24792,50,10,2,22,73,5000,1,-8,0,NOAH,XRAI_0.000000,1,2,1,1
27053,50,10,2,23,82,5000,1,-9,0,NOAH,XRAI_0.000000,1,2,1,1
29414,50,10,2,24,90,5000,1,-11,0,NOAH,XRAI_0.000000,1,2,1,1
31875,50,10,2,25,0,5000,1,-10,0,NOAH,XRAI_0.000000,1,2,1,1
34436,50,10,2,26,108,5000,1,-11,0,NOAH,XRAI_0.000000,1,2,1,1
37097,50,10,2,27,0,5000,1,-7,0,NOAH,XRAI_0.000000,1,2,1,1
39858,50,10,2,28,86,5000,1,-8,0,NOAH,XRAI_0.000000,1,2,1,1
42719,50,10,2,29,81,5000,1,-8,0,NOAH,XRAI_0.000000,1,2,1,1
5051,50,1,10,0,1147,25000,1,-40,-26,NOAH,XRAI_0.000000,1,10,5,5
5103,50,1,10,1,1085,25000,1,-40,-29,NOAH,XRAI_0.000000,1,10,5,5
5255,50,1,10,2,1073,25000,1,-42,-28,NOAH,XRAI_0.000000,1,10,5,5
5507,50,1,10,3,755,25000,1,-41,-26,NOAH,XRAI_0.000000,1,10,5,5
5859,50,1,10,4,1288,25000,1,-38,-22,NOAH,XRAI_0.000000,1,10,5,5
6311,50,1,10,5,1425,25000,1,-39,-24,NOAH,XRAI_0.000000,1,10,5,5
6863,50,1,10,6,1557,25000,1,-37,-22,NOAH,XRAI_0.000000,1,10,5,5
7515,50,1,10,7,1791,25000,1,-40,-27,NOAH,XRAI_0.000000,1,10,5,5
8267,50,1,10,8,781,25000,1,-41,-27,NOAH,XRAI_0.000000,1,10,5,5
9119,50,1,10,9,1233,25000,1,-40,-23,NOAH,XRAI_0.000000,1,10,5,5
10071,50,1,10,10,1030,25000,1,-40,-25,NOAH,XRAI_0.000000,1,10,5,5
11123,50,1,10,11,2226,25000,1,-37,-24,NOAH,XRAI_0.000000,1,10,5,5
12275,50,1,10,12,1587,25000,1,-39,-25,NOAH,XRAI_0.000000,1,10,5,5
13527,50,1,10,13,1546,25000,1,-35,-23,NOAH,XRAI_0.000000,1,10,5,5
14879,50,1,10,14,1756,25000,1,-40,-24,NOAH,XRAI_0.000000,1,10,5,5
16331,50,1,10,15,912,25000,1,-38,-25,NOAH,XRAI_0.000000,1,10,5,5
17883,50,1,10,16,1113,25000,1,-41,-26,NOAH,XRAI_0.000000,1,10,5,5
19535,50,1,10,17,1319,25000,1,-39,-26,NOAH,XRAI_0.000000,1,10,5,5
21287,50,1,10,18,15,25000,0.5108,-41,-24,NOAH,XRAI_0.000000,1,10,5,5
23139,50,1,10,19,1693,25000,1,-39,-24,NOAH,XRAI_0.000000,1,10,5,5
25091,50,1,10,20,2732,25000,1,-37,-25,NOAH,XRAI_0.000000,1,10,5,5
27143,50,1,10,21,1213,25000,1,-39,-27,NOAH,XRAI_0.000000,1,10,5,5
29295,50,1,10,22,1205,25000,1,-38,-20,NOAH,XRAI_0.000000,1,10,5,5
31547,50,1,10,23,1110,25000,1,-40,-25,NOAH,XRAI_0.000000,1,10,5,5
33899,50,1,10,24,1248,25000,1,-40,-20,NOAH,XRAI_0.000000,1,10,5,5
36351,50,1,10,25,1285,25000,1,-41,-28,NOAH,XRAI_0.000000,1,10,5,5
38903,50,1,10,26,1498,25000,1,-40,-27,NOAH,XRAI_0.000000,1,10,5,5
41555,50,1,10,27,1390,25000,1,-37,-22,NOAH,XRAI_0.000000,1,10,5,5
44307,50,1,10,28,2365,25000,1,-39,-27,NOAH,XRAI_0.000000,1,10,5,5
47159,50,1,10,29,1063,25000,1,-40,-25,NOAH,XRAI_0.000000,1,10,5,5
5059,50,3,10,0,910,25000,1,-26,-9,NOAH,XRAI_0.000000,1,10,5,5
5113,50,3,10,1,983,25000,1,-26,-6,NOAH,XRAI_0.000000,1,10,5,5
5267,50,3,10,2,1335,25000,1,-24,-3,NOAH,XRAI_0.000000,1,10,5,5
5521,50,3,10,3,1370,25000,1,-27,-9,NOAH,XRAI_0.000000,1,10,5,5
5875,50,3,10,4,800,25000,1,-25,-5,NOAH,XRAI_0.000000,1,10,5,5
6329,50,3,10,5,988,25000,1,-25,-5,NOAH,XRAI_0.000000,1,10,5,5
6883,50,3,10,6,1047,25000,1,-22,-5,NOAH,XRAI_0.000000,1,10,5,5
7537,50,3,10,7,1182,25000,1,-23,-5,NOAH,XRAI_0.000000,1,10,5,5
8291,50,3,10,8,919,25000,1,-27,-9,NOAH,XRAI_0.000000,1,10,5,5
9145,50,3,10,9,1041,25000,1,-24,-6,NOAH,XRAI_0.000000,1,10,5,5
10099,50,3,10,10,1058,25000,1,-26,-7,NOAH,XRAI_0.000000,1,10,5,5
11153,50,3,10,11,990,25000,1,-20,-3,NOAH,XRAI_0.000000,1,10,5,5
12307,50,3,10,12,1352,25000,1,-22,-6,NOAH,XRAI_0.000000,1,10,5,5
13561,50,3,10,13,1275,25000,1,-21,-6,NOAH,XRAI_0.000000,1,10,5,5
14915,50,3,10,14,1350,25000,1,-26,-7,NOAH,XRAI_0.000000,1,10,5,5
16369,50,3,10,15,1275,25000,1,-23,-6,NOAH,XRAI_0.000000,1,10,5,5
17923,50,3,10,16,1265,25000,1,-22,-6,NOAH,XRAI_0.000000,1,10,5,5
19577,50,3,10,17,1289,25000,1,-23,-2,NOAH,XRAI_0.000000,1,10,5,5
21331,50,3,10,18,1126,25000,1,-26,-10,NOAH,XRAI_0.000000,1,10,5,5
23185,50,3,10,19,1503,25000,1,-25,-8,NOAH,XRAI_0.000000,1,10,5,5
25139,50,3,10,20,1420,25000,1,-26,-12,NOAH,XRAI_0.000000,1,10,5,5
27193,50,3,10,21,836,25000,1,-24,-3,NOAH,XRAI_0.000000,1,10,5,5
29347,50,3,10,22,1794,25000,1,-25,-9,NOAH,XRAI_0.000000,1,10,5,5
31601,50,3,10,23,997,25000,1,-24,-4,NOAH,XRAI_0.000000,1,10,5,5
33955,50,3,10,24,986,25000,1,-25,-8,NOAH,XRAI_0.000000,1,10,5,5
36409,50,3,10,25,962,25000,1,-21,-4,NOAH,XRAI_0.000000,1,10,5,5
38963,50,3,10,26,1068,25000,1,-24,-7,NOAH,XRAI_0.000000,1,10,5,5
41617,50,3,10,27,1291,25000,1,-26,-10,NOAH,XRAI_0.000000,1,10,5,5
44371,50,3,10,28,944,25000,1,-24,-5,NOAH,XRAI_0.000000,1,10,5,5
47225,50,3,10,29,923,25000,1,-22,-4,NOAH,XRAI_0.000000,1,10,5,5
5075,50,5,10,0,973,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
5131,50,5,10,1,1329,25000,1,-14,0,NOAH,XRAI_0.000000,1,10,5,5
5287,50,5,10,2,1379,25000,1,-12,0,NOAH,XRAI_0.000000,1,10,5,5
5543,50,5,10,3,1244,25000,1,-13,0,NOAH,XRAI_0.000000,1,10,5,5
5899,50,5,10,4,1827,25000,1,-15,0,NOAH,XRAI_0.000000,1,10,5,5
6355,50,5,10,5,1427,25000,1,-14,0,NOAH,XRAI_0.000000,1,10,5,5
6911,50,5,10,6,1203,25000,1,-16,0,NOAH,XRAI_0.000000,1,10,5,5
7567,50,5,10,7,1232,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
8323,50,5,10,8,1484,25000,1,-16,0,NOAH,XRAI_0.000000,1,10,5,5
9179,50,5,10,9,1231,25000,1,-13,0,NOAH,XRAI_0.000000,1,10,5,5
10135,50,5,10,10,1195,25000,1,-15,-1,NOAH,XRAI_0.000000,1,10,5,5
11191,50,5,10,11,902,25000,1,-14,0,NOAH,XRAI_0.000000,1,10,5,5
12347,50,5,10,12,1084,25000,1,-14,0,NOAH,XRAI_0.000000,1,10,5,5
13603,50,5,10,13,924,25000,1,-17,-1,NOAH,XRAI_0.000000,1,10,5,5
