seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
22083,25,1,25,16,15625,15625,0.846888,-10,-9,0.2,Mu1-const,NSWAP
22910,25,1,25,17,15625,15625,0.865178,-10,-9,0.2,Mu1-const,NSWAP
23787,25,1,25,18,15625,15625,0.875417,-9,-8,0.2,Mu1-const,NSWAP
24714,25,1,25,19,15625,15625,0.818714,-10,-9,0.2,Mu1-const,NSWAP
25691,25,1,25,20,15625,15625,0.822978,-9,-8,0.2,Mu1-const,NSWAP
26718,25,1,25,21,15625,15625,0.835289,-8,-7,0.2,Mu1-const,NSWAP
27795,25,1,25,22,15625,15625,0.887089,-8,-7,0.2,Mu1-const,NSWAP
28922,25,1,25,23,15625,15625,0.877125,-7,-6,0.2,Mu1-const,NSWAP
30099,25,1,25,24,15625,15625,0.835026,-6,-5,0.2,Mu1-const,NSWAP
31326,25,1,25,25,15625,15625,0.833942,-9,-8,0.2,Mu1-const,NSWAP
32603,25,1,25,26,15625,15625,0.88122,-10,-9,0.2,Mu1-const,NSWAP
33930,25,1,25,27,15625,15625,0.88768,-12,-10,0.2,Mu1-const,NSWAP
35307,25,1,25,28,15625,15625,0.882173,-10,-9,0.2,Mu1-const,NSWAP
36734,25,1,25,29,15625,15625,0.847722,-8,-7,0.2,Mu1-const,NSWAP
26,5,1,2,0,7,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
33,5,1,2,1,2,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
50,5,1,2,2,39,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
77,5,1,2,3,31,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
114,5,1,2,4,32,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
161,5,1,2,5,50,50,0.75,0,0,0.2,Mu1-const,XRAI_0.250000
218,5,1,2,6,24,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
285,5,1,2,7,10,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
362,5,1,2,8,50,50,0.75,0,0,0.2,Mu1-const,XRAI_0.250000
449,5,1,2,9,13,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
546,5,1,2,10,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
653,5,1,2,11,34,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
770,5,1,2,12,1,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
897,5,1,2,13,3,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1034,5,1,2,14,14,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1181,5,1,2,15,30,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1338,5,1,2,16,36,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1505,5,1,2,17,1,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
