seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,init
4377,25,1,2,13,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5054,25,1,2,14,0.0,11,11,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5054,25,1,2,14,1.0,11,11,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5781,25,1,2,15,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5781,25,1,2,15,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
6558,25,1,2,16,0.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
6558,25,1,2,16,1.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
7385,25,1,2,17,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
7385,25,1,2,17,0.916667,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
8262,25,1,2,18,0.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
8262,25,1,2,18,1.0,6,6,Mu1-const,XRAI_2.000000,0.1,7.0,-1.0,False
9189,25,1,2,19,0.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
9189,25,1,2,19,1.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
10166,25,1,2,20,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
10166,25,1,2,20,1.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
11193,25,1,2,21,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
11193,25,1,2,21,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1023,10,1,10,1,0.927802,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
12270,25,1,2,22,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1055,10,1,10,2,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
12270,25,1,2,22,1.0,7,7,Mu1-const,XRAI_2.000000,0.1,8.0,-1.0,False
13397,25,1,2,23,0.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
13397,25,1,2,23,1.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
14574,25,1,2,24,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
14574,25,1,2,24,1.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
15801,25,1,2,25,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
15801,25,1,2,25,1.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
17078,25,1,2,26,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,9.0,-1.0,True
17078,25,1,2,26,0.958333,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
18405,25,1,2,27,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
18405,25,1,2,27,1.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
19782,25,1,2,28,0.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1055,10,1,10,2,0.912354,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
1107,10,1,10,3,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
19782,25,1,2,28,1.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
21209,25,1,2,29,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
21209,25,1,2,29,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
455,50,1,2,2,0.979592,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
707,50,1,2,3,0.0,30,30,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
707,50,1,2,3,1.0,30,30,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1107,10,1,10,3,0.866461,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
1179,10,1,10,4,1.11022e-16,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1059,50,1,2,4,0.0,28,28,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1059,50,1,2,4,1.0,28,28,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1179,10,1,10,4,0.884056,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
1271,10,1,10,5,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1511,50,1,2,5,0.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1511,50,1,2,5,1.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1271,10,1,10,5,0.93585,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
1383,10,1,10,6,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2063,50,1,2,6,0.0,23,23,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1383,10,1,10,6,0.893942,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1515,10,1,10,7,1.11022e-16,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2063,50,1,2,6,1.0,23,23,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2715,50,1,2,7,0.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1515,10,1,10,7,0.745547,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1667,10,1,10,8,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
2715,50,1,2,7,1.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
3467,50,1,2,8,0.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1667,10,1,10,8,0.927802,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1839,10,1,10,9,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3467,50,1,2,8,1.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5051,50,1,10,0,0.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4319,50,1,2,9,0.0,23,23,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1839,10,1,10,9,0.909278,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2031,10,1,10,10,1.11022e-16,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2031,10,1,10,10,0.782142,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2243,10,1,10,11,1.11022e-16,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,True
2243,10,1,10,11,0.877162,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,1.0,False
2475,10,1,10,12,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4319,50,1,2,9,1.0,23,23,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5271,50,1,2,10,0.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2475,10,1,10,12,0.925926,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
2727,10,1,10,13,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2727,10,1,10,13,0.906303,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2999,10,1,10,14,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5271,50,1,2,10,1.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
6323,50,1,2,11,0.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2999,10,1,10,14,0.857516,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
3291,10,1,10,15,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
6323,50,1,2,11,1.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
7475,50,1,2,12,0.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
7475,50,1,2,12,1.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
3291,10,1,10,15,0.931707,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
3603,10,1,10,16,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
8727,50,1,2,13,0.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
8727,50,1,2,13,1.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
10079,50,1,2,14,0.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3603,10,1,10,16,0.912354,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
3935,10,1,10,17,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
10079,50,1,2,14,1.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
11531,50,1,2,15,0.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
11531,50,1,2,15,1.0,26,26,Mu1-const,XRAI_2.000000,0.1,28.0,-1.0,False
13083,50,1,2,16,0.0,25,25,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3935,10,1,10,17,0.907779,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
4287,10,1,10,18,1.11022e-16,2,2,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4287,10,1,10,18,0.902009,2,2,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
4659,10,1,10,19,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
13083,50,1,2,16,1.0,25,25,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
14735,50,1,2,17,0.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4659,10,1,10,19,0.906303,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5051,10,1,10,20,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
14735,50,1,2,17,1.0,27,27,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
16487,50,1,2,18,0.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5051,10,1,10,20,0.880559,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
5463,10,1,10,21,1.11022e-16,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5463,10,1,10,21,0.863414,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,1.0,False
5895,10,1,10,22,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
16487,50,1,2,18,0.979592,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
