seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,init
707,50,1,2,3,0.938776,42,30,Mu1-unconst,NSWAP,-1.0,1
39507,50,1,2,28,1.0,43,28,Mu1-unconst,NSWAP,-1.0,0
707,50,1,2,3,1.0,41,30,Mu1-unconst,NSWAP,-1.0,0
42359,50,1,2,29,0.959184,40,23,Mu1-unconst,NSWAP,-1.0,1
1011,10,1,10,0,0.945065,3,0,Mu1-unconst,NSWAP,4.0,0
1023,10,1,10,1,0.855603,1,0,Mu1-unconst,NSWAP,1.0,1
1059,50,1,2,4,1.0,43,28,Mu1-unconst,NSWAP,-1.0,1
4287,10,1,10,18,0.942622,2,2,Mu1-unconst,NSWAP,5.0,0
4659,10,1,10,19,0.863414,2,0,Mu1-unconst,NSWAP,2.0,1
1059,50,1,2,4,1.0,43,28,Mu1-unconst,NSWAP,-1.0,0
42359,50,1,2,29,1.0,40,23,Mu1-unconst,NSWAP,-1.0,0
1511,50,1,2,5,1.0,42,27,Mu1-unconst,NSWAP,-1.0,1
1511,50,1,2,5,1.0,42,27,Mu1-unconst,NSWAP,-1.0,0
2063,50,1,2,6,0.979592,43,23,Mu1-unconst,NSWAP,-1.0,1
5051,50,1,10,0,0.970979,42,26,Mu1-unconst,NSWAP,-1.0,1
2063,50,1,2,6,1.0,43,23,Mu1-unconst,NSWAP,-1.0,0
2715,50,1,2,7,1.0,42,26,Mu1-unconst,NSWAP,-1.0,1
2715,50,1,2,7,1.0,42,26,Mu1-unconst,NSWAP,-1.0,0
3467,50,1,2,8,1.0,44,27,Mu1-unconst,NSWAP,-1.0,1
3467,50,1,2,8,1.0,44,27,Mu1-unconst,NSWAP,-1.0,0
4319,50,1,2,9,1.0,43,23,Mu1-unconst,NSWAP,-1.0,1
1023,10,1,10,1,0.938025,1,0,Mu1-unconst,NSWAP,2.0,0
1055,10,1,10,2,0.868532,3,0,Mu1-unconst,NSWAP,4.0,1
4659,10,1,10,19,0.947622,2,0,Mu1-unconst,NSWAP,4.0,0
5051,10,1,10,20,0.846397,2,0,Mu1-unconst,NSWAP,2.0,1
4319,50,1,2,9,1.0,43,23,Mu1-unconst,NSWAP,-1.0,0
5271,50,1,2,10,0.938776,42,24,Mu1-unconst,NSWAP,-1.0,1
5271,50,1,2,10,1.0,42,24,Mu1-unconst,NSWAP,-1.0,0
6323,50,1,2,11,0.959184,45,27,Mu1-unconst,NSWAP,-1.0,1
6323,50,1,2,11,1.0,45,27,Mu1-unconst,NSWAP,-1.0,0
5051,10,1,10,20,0.945065,2,0,Mu1-unconst,NSWAP,5.0,0
5463,10,1,10,21,0.854656,4,1,Mu1-unconst,NSWAP,5.0,1
7475,50,1,2,12,1.0,46,24,Mu1-unconst,NSWAP,46.0,1
1055,10,1,10,2,0.94028,3,0,Mu1-unconst,NSWAP,4.0,0
1107,10,1,10,3,0.83603,3,0,Mu1-unconst,NSWAP,4.0,1
7475,50,1,2,12,1.0,46,24,Mu1-unconst,NSWAP,46.0,0
8727,50,1,2,13,1.0,42,24,Mu1-unconst,NSWAP,-1.0,1
8727,50,1,2,13,1.0,42,24,Mu1-unconst,NSWAP,-1.0,0
10079,50,1,2,14,0.979592,44,27,Mu1-unconst,NSWAP,-1.0,1
2526,25,1,10,0,1.0,17,8,Mu1-unconst,NSWAP,21.0,0
2553,25,1,10,1,0.944098,17,7,Mu1-unconst,NSWAP,-1.0,1
10079,50,1,2,14,1.0,44,27,Mu1-unconst,NSWAP,-1.0,0
11531,50,1,2,15,0.979592,44,26,Mu1-unconst,NSWAP,-1.0,1
11531,50,1,2,15,1.0,44,26,Mu1-unconst,NSWAP,-1.0,0
5463,10,1,10,21,0.94028,4,1,Mu1-unconst,NSWAP,-1.0,0
5895,10,1,10,22,0.856556,4,0,Mu1-unconst,NSWAP,4.0,1
