seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
2066,5,1,2,20,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2066,5,1,2,20,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2273,5,1,2,21,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2273,5,1,2,21,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2490,5,1,2,22,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2490,5,1,2,22,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2717,5,1,2,23,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2717,5,1,2,23,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2954,5,1,2,24,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
147,10,1,2,3,1,0,0,Mu1-const,XRAI_2.000000,0.1,1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
219,10,1,2,4,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
219,10,1,2,4,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
311,10,1,2,5,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
311,10,1,2,5,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
423,10,1,2,6,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
423,10,1,2,6,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
555,10,1,2,7,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
555,10,1,2,7,1,0,0,Mu1-const,XRAI_2.000000,0.1,1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
707,10,1,2,8,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
707,10,1,2,8,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
879,10,1,2,9,0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
879,10,1,2,9,1,1,1,Mu1-const,XRAI_2.000000,0.1,-1.000000,1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1071,10,1,2,10,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1071,10,1,2,10,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1283,10,1,2,11,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1011,10,1,10,0,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2547,10,5,10,12,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1283,10,1,2,11,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1515,10,1,2,12,0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2954,5,1,2,24,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3201,5,1,2,25,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3201,5,1,2,25,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3458,5,1,2,26,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3458,5,1,2,26,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3725,5,1,2,27,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3725,5,1,2,27,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
4002,5,1,2,28,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
4002,5,1,2,28,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
4289,5,1,2,29,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
4289,5,1,2,29,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
34,5,3,2,0,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
34,5,3,2,0,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
43,5,3,2,1,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
43,5,3,2,1,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
62,5,3,2,2,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
62,5,3,2,2,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
91,5,3,2,3,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
91,5,3,2,3,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
130,5,3,2,4,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
130,5,3,2,4,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
179,5,3,2,5,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
179,5,3,2,5,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
238,5,3,2,6,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
238,5,3,2,6,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
307,5,3,2,7,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
307,5,3,2,7,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
386,5,3,2,8,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
386,5,3,2,8,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
475,5,3,2,9,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
475,5,3,2,9,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
574,5,3,2,10,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
574,5,3,2,10,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
683,5,3,2,11,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
683,5,3,2,11,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
12347,50,5,10,12,0.0816327,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,-2.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1
802,5,3,2,12,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
802,5,3,2,12,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
931,5,3,2,13,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
931,5,3,2,13,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1070,5,3,2,14,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1191,25,10,2,6,0.0833333,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,-2.000000,-2.000000,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,1
6222,25,5,10,12,0.0833333,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,-2.000000,0.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,1
126,25,1,2,0,0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,1
514,5,3,10,0,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1515,10,1,2,12,0.888889,1,1,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1767,10,1,2,13,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
47581,50,3,25,18,0.0408163,3,3,Mu1-const,XRAI_2.000000,0.1,-2.000000,3.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1
1767,10,1,2,13,1,0,0,Mu1-const,XRAI_2.000000,0.1,1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
