seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
126,25,1,2,0,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
5859,10,1,2,24,0.777778,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
5859,10,1,2,24,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
6351,10,1,2,25,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
6351,10,1,2,25,1.0,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
6863,10,1,2,26,0.888889,3,0,Mu1-unconst,NSWAP,3.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
6863,10,1,2,26,1.0,3,0,Mu1-unconst,NSWAP,3.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
7395,10,1,2,27,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
7395,10,1,2,27,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
7947,10,1,2,28,0.888889,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
7947,10,1,2,28,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
8519,10,1,2,29,0.888889,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
8519,10,1,2,29,1.0,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
1011,10,1,10,0,0.863414,4,0,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
14574,25,1,2,24,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
19275,25,1,25,12,0.949367,16,9,Mu1-unconst,NSWAP,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
126,25,1,2,0,1.0,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
153,25,1,2,1,0.958333,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
423,10,1,2,6,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
555,10,1,2,7,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
